id,full_name,Free/CC Public Domain,Free/CC BY,Free/CC0,Free/RS NKC,Free with conditions/CC BY-SA,Free with conditions/CC BY-NC,Free with conditions/CC BY-NC-ND,Free with conditions/CC BY-NC-SA,Free with conditions/InC-EDU,Restricted/RS InC,Restricted/RS InC-RUU,Restricted/RS CNE,Restricted/RS UND
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit / 4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,0,0,0,0,0,0,0,1061,0,0,0,0,0
ADFA,"Academy Library, UNSW Canberra.",0,0,0,1,0,0,1,1,0,2,0,0,0
VAPRC,Albert Park-South Melbourne Rowing Club.,0,0,0,0,0,0,0,13,0,0,0,0,0
NALB:DC,AlburyCity libraries. / AlburyCity libraries. Albury LibraryMuseum. / Albury LibraryMuseum Digital Collections.,0,0,0,0,0,0,0,0,0,1,0,0,0
VAHNL,Alfred Hospital Nurses League - Nursing Archives.,0,0,0,0,0,0,0,38,0,0,0,0,0
XASPL,Alice Springs Town Council / Alice Springs Town Council. Alice Springs Public Library.,0,0,0,0,0,0,1,0,0,0,0,0,0
VTAMA,Ararat Gallery TAMA.,0,0,0,0,0,0,0,549,0,0,0,0,0
NACU:E,Australian Catholic University. / Australian Catholic University Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
VER,Australian Council for Educational Research / Australian Council for Educational Research. Cunningham Library (ACER).,0,2,0,0,0,0,1,0,0,0,0,0,0
AIAS,Australian Institute of Aboriginal and Torres Strait Islander Studies. / AIATSIS Collections.,0,0,0,0,0,0,1,0,0,4,0,0,0
VJAZ,Australian Jazz Museum.,0,0,0,0,0,0,0,16,0,0,0,0,0
NAMU,Australian Museum. / Australian Museum Research Library.,0,0,0,1,0,0,0,0,0,0,0,0,0
AAUD,Australian National Audit Office / Australian National Audit Office. Information Research Centre.,0,0,0,0,0,0,0,1,0,0,0,0,0
ANU,Australian National University. / Australian National University Library.,0,0,0,0,0,0,2,1,0,1,0,0,0
ANU:IR,Australian National University. / Australian National University Library. / Australian National University: Institutional Repository.,0,8,0,0,2,0,3,0,0,1,0,0,0
