id,full_name,Free/CC Public Domain,Free/CC BY,Free/CC0,Free/RS NKC,Free with conditions/CC BY-SA,Free with conditions/CC BY-NC,Free with conditions/CC BY-NC-ND,Free with conditions/CC BY-NC-SA,Free with conditions/InC-EDU,Restricted/RS InC,Restricted/RS CNE,Restricted/RS UND
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit / 4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,0,0,0,0,0,0,0,2,0,0,0,0
ADFA,"Academy Library, UNSW Canberra.",0,0,0,1,0,0,0,1,0,0,0,0
NACU:E,Australian Catholic University. / Australian Catholic University Library.,0,0,0,1,0,0,0,2,0,0,0,0
VER,Australian Council for Educational Research / Australian Council for Educational Research. Cunningham Library (ACER).,0,0,0,0,0,0,0,1,0,0,0,0
AIAS,Australian Institute of Aboriginal and Torres Strait Islander Studies. / AIATSIS Collections.,0,0,0,1,0,0,0,1,0,0,0,0
SL,Australian Lutheran College / Australian Lutheran College. Lohe Memorial Library.,0,0,0,1,0,0,0,1,0,0,0,0
NAMU,Australian Museum. / Australian Museum Research Library.,0,0,0,1,0,0,0,1,0,0,0,0
ANU,Australian National University. / Australian National University Library.,0,0,0,1,0,0,0,1,0,0,0,0
ANU:HITL,Australian National University. / Heritage in the Limelight.,0,2,0,0,0,0,0,0,0,0,0,0
APC:WC,Australian Paralympic Committee / Australian Paralympic Committee. Images on Wikimedia Commons.,0,0,0,0,1,0,0,0,0,0,0,0
VBLM,B-24 Liberator Memorial Restoration Australia Inc.,0,0,0,0,0,0,0,1,0,0,0,0
XBATCH,Batchelor Institute of Indigenous Tertiary Education.,0,0,0,1,0,0,0,1,0,0,0,0
VBAY,Bayside Library Service / Bayside Library Service. Bayside Library Service.,0,0,0,1,0,0,0,3,0,0,0,0
QBON,Bond University. / John and Alison Kearney Library .,0,0,0,1,0,0,0,1,0,0,0,0
VBRIM,Brimbank Libraries.,0,0,0,0,0,0,0,1,0,0,0,0
ACIT,Canberra Institute of Technology / Canberra Institute of Technology. Reid Library.,0,0,0,1,0,0,0,1,0,0,0,0
XNTU,Charles Darwin University. / Casuarina Campus Library.,0,0,0,1,0,0,0,1,0,0,0,0
NCSU:A,Charles Sturt University. / Albury-Wodonga Campus Library.,0,0,0,1,0,0,0,1,0,0,0,0
VMT,Chisholm Institute.,0,0,0,0,0,0,0,1,0,0,0,0
VCIHF,Churchill Island Heritage Farm.,0,0,0,0,0,0,0,11,0,0,0,0
VBOR,City of Boroondara Library Service.,0,0,0,0,0,0,0,2,0,0,0,0
NCLL,Clarence Regional Library / Clarence Regional Library. Clarence Regional Library Headquarters.,0,0,0,1,0,0,0,1,0,0,0,0
VCGL,Corangamite Regional Library Corporation / Corangamite Regional Library Corporation. Corangamite Regional Library Corporation Library.,0,0,0,1,0,0,0,1,0,0,0,0
VCHM,Creswick Museum.,0,0,0,0,0,0,0,1,0,0,0,0
WCU,Curtin University. / Curtin University Library.,0,0,0,1,0,0,0,1,0,0,0,0
VPRE,Darebin Libraries / Darebin Libraries. Preston Library.,0,0,0,0,0,0,0,1,0,0,0,0
VDU,Deakin University. / Deakin University Library.,0,0,0,1,0,0,0,1,0,0,0,0
VDSTO,Defence Science and Technology Group. / DST Group Research Information Services  - Melbourne.,0,0,0,0,0,0,0,1,0,0,0,0
VEGS,East Gippsland Shire Library.,0,0,0,0,0,0,0,1,0,0,0,0
WCX,Edith Cowan University. / Edith Cowan University Library.,0,0,0,1,0,0,0,1,0,0,0,0
SEPR,Eyre Pensinsula Railway Preservation Society.,0,0,0,107,0,0,0,0,0,0,0,0
NFDC:S,Federal Court of Australia. / Library & Information Services  (South Australia).,0,0,0,1,0,0,0,1,0,0,0,0
NFDC:V,Federal Court of Australia. / Library & Information Services (Victoria).,0,0,0,0,0,0,0,1,0,0,0,0
NFDC:W,Federal Court of Australia. / Library & Information Services (Western Australia).,0,0,0,1,0,0,0,1,0,0,0,0
VFED,Federation University Australia Library.,0,0,0,0,0,0,0,1,0,0,0,0
VFED:A,Federation University Australia Library. / Art Collection.,0,0,0,0,0,0,0,1,0,0,0,0
VFED:G,Federation University Australia Library. / Federation University Australia - Gippsland campus library.,0,0,0,1,0,0,0,2,0,0,0,0
YUF,Flickr.,1201,848,1,0,678,45,615,392,2,0,0,0
SFU,Flinders University. / Flinders University Central Library.,0,0,0,1,0,0,0,1,0,0,0,0
VGCC,Geelong Cycling Club.,0,0,0,0,0,0,0,3,0,0,0,0
VGRSL,Geelong RSL Sub Branch.,0,0,0,0,0,0,0,3,0,0,0,0
VGEE,Geelong Regional Library Corporation / Geelong Regional Library Corporation. Library Administration.,0,0,0,1,0,0,0,1,0,0,0,0
VGEHS,Glen Eira Historical Society.,0,0,0,0,0,0,0,1,0,0,0,0
VCAU,Glen Eira Libraries / Glen Eira Libraries. Carnegie Library and Community Centre .,0,0,0,0,0,0,0,1,0,0,0,0
VGLEN,Glenelg Shire Council / Glenelg Shire Council. Glenelg Libraries.,0,0,0,0,0,0,0,1,0,0,0,0
VNCG,Goldfields Library Corporation.,0,0,0,0,0,0,0,1,0,0,0,0
VGBV,Goulburn Ovens Institute of TAFE / Goulburn Ovens Institute of TAFE. Goulburn Ovens Institute of TAFE - Library AND La Trobe University - Shepparton Campus Library.,0,0,0,0,0,0,0,1,0,0,0,0
QGU,Griffith University. / Griffith University Library.,0,0,0,1,0,0,0,1,0,0,0,0
VHOB,Hobsons Bay Libraries.,0,0,0,0,0,0,0,2,0,0,0,0
VHOM,Holmesglen Institute of TAFE. / Holmesglen Library.,0,0,0,0,0,0,0,1,0,0,0,0
VHUM,Hume Libraries / Hume Libraries. The Age Library.,0,0,0,0,0,0,0,1,0,0,0,0
NINV,Inverell Shire Council / Inverell Shire Council. Inverell Shire Public Library.,0,0,0,1,0,0,0,1,0,0,0,0
QJCU,James Cook University. / Eddie Koiki Mabo Library.,0,0,0,1,0,0,0,1,0,0,0,0
VJTL,Jesuit Theological College / Jesuit Theological College. Dalton McCaughey Library.,0,0,0,1,0,0,0,1,0,0,0,0
VKHI,Kew Historical Society.,0,0,0,0,0,0,0,1,0,0,0,0
VKING,Kingston Information and Library Service. / Kingston Information & Library Service.,0,0,0,0,0,0,0,2,0,0,0,0
VBX,"La Trobe University. / La Trobe University Library. / Bendigo Campus, Heyward Library.",0,0,0,1,0,0,0,2,0,0,0,0
VLU,"La Trobe University. / La Trobe University Library. / Borchardt Library, Melbourne (Bundoora) Campus.",0,0,0,1,0,0,0,1,0,0,0,0
VSCT,La Trobe University. / Sunraysia Institute of TAFE AND La Trobe University - Mildura Campus Library.,0,0,0,1,0,0,0,1,0,0,0,0
VLTV,Latrobe City Library / Latrobe City Library. Morwell Public Library.,0,0,0,0,0,0,0,1,0,0,0,0
APLS,Libraries ACT.,0,0,0,1,0,0,0,1,0,0,0,0
TSL,Libraries Tasmania.,0,0,0,1,0,0,0,2,0,0,0,0
NLRL,Lithgow Library Learning Centre.,0,0,0,0,0,0,0,1,0,0,0,0
NLIVL,Liverpool City Library. / Liverpool City Library.,0,0,0,0,0,0,0,1,0,0,0,0
NMQU,Macquarie University. / Macquarie University Library.,0,0,0,1,0,0,0,1,0,0,0,0
VFPL,Maribyrnong Library Service.,0,0,0,0,0,0,0,2,0,0,0,0
VMC,Mazenod College / Mazenod College. Mazenod College Library.,0,0,0,0,0,0,0,1,0,0,0,0
VNMT,Melbourne Polytechnic.,0,0,0,0,0,0,0,1,0,0,0,0
VMLT:CHC,Melton City Council Library Service. / Community Heritage Collection.,0,0,0,0,0,15,0,0,0,0,0,0
VMON,Monash Public Library Service / Monash Public Library Service. Monash Public Library Service.,0,0,0,0,0,0,0,1,0,0,0,0
VMOU,Monash University. / Monash University Library.,0,0,0,1,0,0,0,2,0,0,0,0
VMVL,Moonee Valley Libraries / Moonee Valley Libraries. Moonee Valley Libraries.,0,0,0,0,0,0,0,1,0,0,0,0
VMOR,Moreland City Libraries / Moreland City Libraries. Moreland City Library.,0,0,0,0,0,0,0,1,0,0,0,0
WMDU,Murdoch University. / Murdoch University Library.,0,0,0,1,0,0,0,1,0,0,0,0
VNMU:I,Museum Victoria. / Museum Victoria Collections.,0,33082,0,0,0,0,0,0,0,0,0,0
VNMU,Museum Victoria. / Museums Victoria Library.,0,0,0,1,0,0,0,1,0,0,0,0
XNTA,Museums and Art Galleries of the Northern Territory / Museums and Art Galleries of the Northern Territory. Peter Spillett Library.,0,0,0,1,0,0,0,1,0,0,0,0
XKATR,NT Schools Katherine Region.,0,0,0,1,0,0,0,1,0,0,0,0
ANG,National Gallery of Australia. / National Gallery of Australia Research Library.,0,0,0,1,0,0,0,1,0,0,0,0
VNG,National Gallery of Victoria. / The Shaw Research Library.,0,0,0,1,0,0,0,1,0,0,0,0
ANL,National Library of Australia.,0,0,0,2,0,0,0,2,0,1,0,0
AMOA:C,National Museum of Australia. / National Museum of Australia Collection.,468,0,0,0,36,0,0,0,0,120,519,3
AMOA,National Museum of Australia. / National Museum of Australia Research Library.,0,0,0,1,0,0,0,1,0,0,0,0
XNLS,Northern Territory Library .,0,2146,0,1,0,0,0,1,0,0,0,0
VORH:M,Orbost Historical Society Museum. / Orbost & District Historical Society.,0,0,0,0,0,0,0,43,0,0,0,0
VPID,Phillip Island and District Historical Society Inc.,0,0,0,0,0,0,0,443,0,0,0,0
VPPLS,Port Phillip Library Service / Port Phillip Library Service. St Kilda Library.,0,0,0,0,0,0,0,1,0,0,0,0
VPMEC,Prahran Mechanics' Institute Victorian History Library.,0,0,0,1,0,0,0,1,0,0,0,0
VPRO,Public Record Office Victoria. / Victorian Archives Centre.,0,0,0,0,0,0,0,1,0,1,0,0
VPRO:VC,Public Record Office Victoria. / Victorian Collections records.,0,0,0,0,0,0,0,1,0,0,0,0
TQVM,Queen Victoria Museum and Art Gallery / Queen Victoria Museum and Art Gallery. Queen Victoria Museum and Art Gallery Library.,0,0,0,1,0,0,0,1,0,0,0,0
QMU,Queensland Museum. / Queensland Museum Library.,0,0,0,1,0,0,0,1,0,0,0,0
QUT:DC,Queensland University of Technology. / Digital Collections.,90,3,242,0,0,0,0,0,0,0,0,0
QUT:KG,Queensland University of Technology. / Kelvin Grove Campus Library.,0,0,0,1,0,0,0,1,0,0,0,0
VIT,RMIT University. / RMIT University Library.,0,0,0,1,0,0,0,1,0,0,0,0
NRTW,Richmond-Tweed Regional Library / Richmond-Tweed Regional Library. Library Headquarters.,0,0,0,1,0,0,0,1,0,0,0,0
VRDH,Ringwood and District Historical Society.,0,0,0,0,0,0,0,26,0,0,0,0
